DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FOM_COST_ID,SOURCE,NOTES
QPS2,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,QPS2,NTNPD,
QPS5,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,128,0,600,600,600,600,1,1,12800,12800,12800,10.4,11.25,0.3,6.629058547,84.97690865,QPS5,NTNPD,
QPS4,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,QPS4,NTNPD,
DARTM1,DARTM,DARTMOUTH POWER STATION,VIC1,NVIC,739,Hydro,Hydro,0,SCHEDULED,150,18,3270,3270,3120,3010,1,1,750,450,300,7,0,0,0,7,DARTM1,NTNPD,
BROKENH1,BROKENH,Broken Hill Solar Plant,NSW1,SWNSW,469,Solar,Solar,0,SEMI-SCHEDULED,53,0,1200,1200,1200,1200,0,0,0,0,0,0,3.6,0,0,0,Broken Hill Solar Plant,NTNPD,
MPP_2,MILLMERN,Millmerran Power Plant,QLD1,SWQ,561,Black coal,Fossil,0.89209,SCHEDULED,426,170.4,60,60,60,60,8,8,149100,51120,17040,3.1,9.756097561,0.1,1.249,15.28536585,MPP_2,NTNPD,
MPP_1,MILLMERN,Millmerran Power Plant,QLD1,SWQ,561,Black coal,Fossil,0.89209,SCHEDULED,426,170.4,60,60,60,60,8,8,149100,51120,17040,3.1,9.756097561,0.1,1.249,15.28536585,MPP_1,NTNPD,
WKIEWA1,WKIEWA,WEST KIEWA POWER STATION,VIC1,NVIC,738,Hydro,Hydro,0,SCHEDULED,31,0,600,600,600,600,1,1,155,93,62,7,0,0,0,7,WKIEWA1,NTNPD,
WKIEWA2,WKIEWA,WEST KIEWA POWER STATION,VIC1,NVIC,738,Hydro,Hydro,0,SCHEDULED,31,0,600,600,600,600,1,1,155,93,62,7,0,0,0,7,WKIEWA2,NTNPD,
MSTUART1,MSTUART,Mt Stuart Power Station,QLD1,NQ,357,Kerosene - non aviation,Fossil,1.00862,SCHEDULED,144,0,600,590,600,600,1,1,14400,14400,14400,10.4,12,0.3,5.990506562,82.28607874,MSTUART1,NTNPD,
