DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FUEL_COST_ID,SOURCE,COST_TYPE,NOTES
GSTONE4,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,Gladstone,NTNDP,COAL,
BDL02,DEIBDL,Bairnsdale Power Station,VIC1,LV,88,Natural Gas (Pipeline),Fossil,0.57086,SCHEDULED,47,0,240,240,240,240,1,1,4700,4700,4700,10.4,10.58823529,0.3,6.213779014,76.19295424,Bairnsdale,NTNDP,GAS,
BRAEMAR1,BRAEMARA,Braemar Power Station,QLD1,SWQ,661,Coal seam methane,Fossil,0.66977,SCHEDULED,168,0,430,430,460,460,1,1,16800,16800,16800,10.4,12,0.3,5.745362791,79.34435349,Braemar,NTNDP,GAS,
BRAEMAR2,BRAEMARA,Braemar Power Station,QLD1,SWQ,661,Coal seam methane,Fossil,0.66977,SCHEDULED,168,0,430,430,460,460,1,1,16800,16800,16800,10.4,12,0.3,5.745362791,79.34435349,Braemar,NTNDP,GAS,
BRAEMAR3,BRAEMARA,Braemar Power Station,QLD1,SWQ,661,Coal seam methane,Fossil,0.66977,SCHEDULED,168,0,430,430,460,460,1,1,16800,16800,16800,10.4,12,0.3,5.745362791,79.34435349,Braemar,NTNDP,GAS,
BRAEMAR5,B2PS,BRAEMAR 2 POWER STATION,QLD1,SWQ,662,Coal seam methane,Fossil,0.69137,SCHEDULED,173,0,680,660,660,660,1,1,17300,17300,17300,10.4,12,0.3,5.745362791,79.34435349,Braemar 2,NTNDP,GAS,
HUMENSW,HUMENSW,Hume (NSW) Hydro Power Station,NSW1,SWNSW,734,Hydro,Hydro,0,SCHEDULED,29,4.06,180,180,180,180,1,1,145,87,58,7,0,0,0,7,,,,
BRAEMAR6,B2PS,BRAEMAR 2 POWER STATION,QLD1,SWQ,662,Coal seam methane,Fossil,0.69137,SCHEDULED,173,0,680,660,660,660,1,1,17300,17300,17300,10.4,12,0.3,5.745362791,79.34435349,Braemar 2,NTNDP,GAS,
BRAEMAR7,B2PS,BRAEMAR 2 POWER STATION,QLD1,SWQ,662,Coal seam methane,Fossil,0.69137,SCHEDULED,173,0,680,660,660,660,1,1,17300,17300,17300,10.4,12,0.3,5.745362791,79.34435349,Braemar 2,NTNDP,GAS,
BLUFF1,BLUFF,The Bluff Wind Farm,SA1,NSA,9,Wind,Wind,0,SEMI-SCHEDULED,53,0,120,120,120,120,1,1,265,159,106,0,3.6,0,0,0,,,,
CG1,COLONGRA,Colongra Power Station,NSW1,NCEN,162,Natural Gas (Pipeline),Fossil,0.79039,SCHEDULED,181,0,720,720,720,720,1,1,18100,18100,18100,8.3,11.25,0.3,5.825201823,73.83352051,Colongra,NTNDP,GAS,
TARALGA1,TARALGA,Taralga Wind Farm,NSW1,NCEN,512,Wind,Wind,0,SEMI-SCHEDULED,106,0,620,600,630,620,1,1,530,318,212,0,3.6,0,0,0,,,,
BLOWERNG,SNOWY6,Blowering Power Station,NSW1,CAN,506,Hydro,Hydro,0,SCHEDULED,80,4.8,120,120,120,120,1,1,400,240,160,7,0,0,0,7,,,,
CG2,COLONGRA,Colongra Power Station,NSW1,NCEN,162,Natural Gas (Pipeline),Fossil,0.79039,SCHEDULED,181,0,720,720,720,720,1,1,18100,18100,18100,8.3,11.25,0.3,5.825201823,73.83352051,Colongra,NTNDP,GAS,
CG3,COLONGRA,Colongra Power Station,NSW1,NCEN,162,Natural Gas (Pipeline),Fossil,0.79039,SCHEDULED,181,0,720,720,720,720,1,1,18100,18100,18100,8.3,11.25,0.3,5.825201823,73.83352051,Colongra,NTNDP,GAS,
CG4,COLONGRA,Colongra Power Station,NSW1,NCEN,162,Natural Gas (Pipeline),Fossil,0.79039,SCHEDULED,181,0,720,720,720,720,1,1,18100,18100,18100,8.3,11.25,0.3,5.825201823,73.83352051,Colongra,NTNDP,GAS,
CPSA,CPSA,Condamine Power Station A,QLD1,SWQ,819,Natural Gas (Pipeline),Fossil,0.5264,SCHEDULED,144,0,170,170,180,180,4,4,3600,2160,720,7,7.5,0.3,5.745362791,50.09022093,Condamine,NTNDP,GAS,
DDPS1,DDPS1,Darling Downs Power Station,QLD1,SWQ,668,Natural Gas (Pipeline),Fossil,0.50624,SCHEDULED,644,0,490,490,380,380,4,4,16100,9660,3220,7,7.826086957,0.3,5.745362791,51.9637088,Darling Downs,NTNDP,GAS,
DRYCGT1,DRYCGT,Dry Creek Gas Turbine Station,SA1,ADE,121,Natural Gas (Pipeline),Fossil,1.35599,SCHEDULED,52,0,300,300,300,300,1,1,5200,5200,5200,10.4,13.84615385,0.3,7.223998176,110.4245902,Dry Creek,NTNDP,GAS,
